Metric,Value
antenna__violating__nets,0
antenna__violating__pins,0
antenna_diodes_count,13
clock__skew__worst_hold,-0.3533
clock__skew__worst_hold__corner:max_ff_n40C_1v95,-0.3596
clock__skew__worst_hold__corner:max_ss_100C_1v60,-0.5280
clock__skew__worst_hold__corner:max_tt_025C_1v80,-0.4086
clock__skew__worst_hold__corner:min_ff_n40C_1v95,-0.3533
clock__skew__worst_hold__corner:min_ss_100C_1v60,-0.5245
clock__skew__worst_hold__corner:min_tt_025C_1v80,-0.4043
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3548
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5254
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4050
clock__skew__worst_setup,0.3732
clock__skew__worst_setup__corner:max_ff_n40C_1v95,0.3927
clock__skew__worst_setup__corner:max_ss_100C_1v60,0.5743
clock__skew__worst_setup__corner:max_tt_025C_1v80,0.4475
clock__skew__worst_setup__corner:min_ff_n40C_1v95,0.3732
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.5537
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.4269
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3787
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.5595
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.4325
design__core__area,987359
design__core__bbox,5.52 10.88 1000.04 1003.68
design__critical_disconnected_pin__count,0
design__die__area,1022380.0000
design__die__bbox,0.0 0.0 1005.78 1016.5
design__disconnected_pin__count,0
design__inferred_latch__count,0
design__instance__area,987359
design__instance__area__class:antenna_cell,73087.6000
design__instance__area__class:buffer,39545.4000
design__instance__area__class:clock_buffer,21719.6000
design__instance__area__class:clock_inverter,3062.9400
design__instance__area__class:fill_cell,240890
design__instance__area__class:inverter,5270.0500
design__instance__area__class:multi_input_combinational_cell,221272
design__instance__area__class:sequential_cell,230486
design__instance__area__class:tap_cell,17678.2000
design__instance__area__class:timing_repair_buffer,134348
design__instance__area__cover,0
design__instance__area__macros,0
design__instance__area__padcells,0
design__instance__area__stdcell,746470
design__instance__count,142116
design__instance__count__class:antenna_cell,29207
design__instance__count__class:buffer,10436
design__instance__count__class:clock_buffer,1527
design__instance__count__class:clock_inverter,248
design__instance__count__class:fill_cell,42962
design__instance__count__class:inverter,1404
design__instance__count__class:multi_input_combinational_cell,17671
design__instance__count__class:sequential_cell,10544
design__instance__count__class:tap_cell,14129
design__instance__count__class:timing_repair_buffer,13988
design__instance__count__cover,0
design__instance__count__hold_buffer,4
design__instance__count__macros,0
design__instance__count__padcells,0
design__instance__count__setup_buffer,31
design__instance__count__stdcell,99154
design__instance__displacement__max,30.6600
design__instance__displacement__mean,0.0910
design__instance__displacement__total,9104.9800
design__instance__utilization,0.7560
design__instance__utilization__stdcell,0.7560
design__instance_unmapped__count,0
design__io,245
design__io__hpwl,57178466
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,26
design__lvs_device_difference__count,0
design__lvs_error__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
design__max_cap_violation__count,0
design__max_cap_violation__count__corner:max_ff_n40C_1v95,0
design__max_cap_violation__count__corner:max_ss_100C_1v60,0
design__max_cap_violation__count__corner:max_tt_025C_1v80,0
design__max_cap_violation__count__corner:min_ff_n40C_1v95,0
design__max_cap_violation__count__corner:min_ss_100C_1v60,0
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count,2750
design__max_fanout_violation__count__corner:max_ff_n40C_1v95,2750
design__max_fanout_violation__count__corner:max_ss_100C_1v60,2750
design__max_fanout_violation__count__corner:max_tt_025C_1v80,2750
design__max_fanout_violation__count__corner:min_ff_n40C_1v95,2750
design__max_fanout_violation__count__corner:min_ss_100C_1v60,2750
design__max_fanout_violation__count__corner:min_tt_025C_1v80,2750
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,2750
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,2750
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,2750
design__max_slew_violation__count,4783
design__max_slew_violation__count__corner:max_ff_n40C_1v95,0
design__max_slew_violation__count__corner:max_ss_100C_1v60,4783
design__max_slew_violation__count__corner:max_tt_025C_1v80,84
design__max_slew_violation__count__corner:min_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,4748
design__max_slew_violation__count__corner:min_tt_025C_1v80,84
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,4761
design__max_slew_violation__count__corner:nom_tt_025C_1v80,84
design__power_grid_violation__count,0
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__rows,365
design__rows:unithd,365
design__sites,789130
design__sites:unithd,789130
design__violations,0
design__xor_difference__count,0
